episode,total_profit,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,avg_loss,num_trades,stop_loss_triggers,take_profit_triggers
1,106.90643997784203,2.0512310537276153,2.8740125274205983,14.51084790087771,0.5516304347826086,0.08589384544183773,368,2,0
2,57.433619842945475,1.0603185550840433,1.348932421759413,39.358423303572984,0.5555555555555556,0.0760217827788008,243,17,1
3,177.3774762291787,2.925099192866785,4.705648946620236,42.78503066348641,0.6059113300492611,0.07955868159841259,203,20,0
4,38.17553770019942,0.6803393067839941,0.951821637370301,87.41453171135949,0.5812807881773399,0.08579770295255923,203,28,0
5,106.03841039227386,1.9451187258594764,2.948018455267576,40.38709293059922,0.6097560975609756,0.08380603783995794,205,21,0
6,94.48820890757564,1.9378174044847558,2.8178424364895793,38.11229221810364,0.5794392523364486,0.08282411127952458,214,17,0
7,121.99818219801696,2.2301784210775786,3.1945081252313052,43.44608971865388,0.6111111111111112,0.08006414552592526,234,15,0
8,119.22600830558393,2.0770729615082026,3.318357469441384,36.68103977918611,0.5852534562211982,0.07831426001770839,217,19,0
9,100.7345503866978,1.6930180053861998,2.3322701769809933,45.82760917396938,0.583710407239819,0.08164635317533706,221,20,0
10,84.81075602167117,1.4276345118796718,2.13422503648851,73.10609084437004,0.5683760683760684,0.07840165018029353,234,31,0
11,44.18569822980616,0.7777020759745273,0.9192233152143975,66.40058925015549,0.5950413223140496,0.07423232927258257,242,18,0
12,91.10970030582419,1.712641910887215,2.569158931901834,37.43675311801915,0.5582329317269076,0.07421475098338685,249,37,0
13,107.784739955777,1.8785083197407377,2.6442156810676063,31.06796871452636,0.5938697318007663,0.07311062066804004,261,28,0
14,164.16928711873788,2.789941217232787,4.49780689654087,44.00084094977346,0.5819672131147541,0.07218723752013238,244,21,0
15,164.48729771814547,2.7332302842888567,4.14797720496335,46.69604469804324,0.6075471698113207,0.07295601068748327,265,24,0
16,7.903732305733721,0.12486614979878155,0.15853922590383646,82.60075376981361,0.5910780669144982,0.07079906751036266,269,35,0
17,161.61844113642476,2.5704011555535673,3.3523469953732192,54.081649342386086,0.5925925925925926,0.07017264240873262,243,18,0
18,77.9622648044729,1.2414598477256567,1.5987970060812302,40.70568473233021,0.5833333333333334,0.07075874148258932,264,14,0
19,172.35233978238395,2.809792896771534,4.263790750513084,28.246772996462937,0.6245210727969349,0.06874429728867258,261,18,0
