episode,total_profit,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,avg_loss,num_trades,stop_loss_triggers,take_profit_triggers
20,160.36486162391873,2.6441217142691973,4.224336848245073,37.385777023720976,0.5875486381322957,0.06904237786944531,257,22,0
21,144.335756167831,2.492942193080405,3.4450029015188295,50.18067257368122,0.6264591439688716,0.06621586656755914,257,19,0
22,105.91872409871176,1.5473137073044563,2.4278018070218885,52.35579921324702,0.5954198473282443,0.06463304973101314,262,28,0
23,150.1334636924649,2.383365314163543,3.517551999355056,30.78359989160589,0.5731225296442688,0.06988940234708635,253,21,0
24,165.60113977267378,2.6859270218123013,4.22097474811147,36.578817286861835,0.6,0.06082268007579043,235,18,0
25,147.18924043448357,2.259282983525305,3.505739753791533,31.778919689006926,0.5843137254901961,0.06284408695319911,255,30,0
26,103.7097993455728,1.8200649177794532,2.5707914449149882,50.99573118369379,0.5650557620817844,0.06063830269547769,269,19,2
27,69.59970190511018,1.1735974594274547,1.5389296482767985,29.76996095215918,0.601593625498008,0.05954919925218896,251,20,0
28,102.90882052144286,1.508052042513347,2.411427150237009,35.51387538849034,0.6,0.06046329823986702,285,19,0
29,114.61996487673007,1.9563066411025234,2.832475742148115,40.03461534552645,0.5757575757575758,0.06035432176082886,264,26,0
30,173.4932312685963,2.6274848881971646,4.126340601564593,20.691009642369124,0.6148148148148148,0.05681113530940647,270,18,3
31,36.72603437813967,0.537330361944058,0.7422348212248808,83.91143922697293,0.5703422053231939,0.055902611240273035,263,33,0
32,175.980973357647,2.6584448727445036,4.224118447282912,58.127411026812084,0.5871212121212122,0.05575530985095204,264,26,0
33,66.77003483763103,1.1541288293330187,1.776738285484923,52.885927869472546,0.5542635658914729,0.05315551246253121,258,29,0
34,169.18712153152654,2.5502969408075873,4.31065045342086,43.601852380142006,0.5931558935361216,0.05442757308601013,263,24,0
35,190.49164416614227,2.828324356434068,5.805908706495969,41.367099144041475,0.5893536121673004,0.05184661067986884,263,19,0
36,156.1108422168491,2.7795018011935166,4.6784213126491885,21.88376247459813,0.588477366255144,0.05069017449574632,243,16,0
37,152.67581337792748,2.1913008832845837,3.5730008558873876,28.58109525346721,0.569672131147541,0.0494687800955829,244,18,0
38,239.59241581156658,3.573767005872863,6.856555710706424,18.902187521581624,0.6008403361344538,0.0503976207800241,238,11,0
39,142.93109508645793,2.5192200369502418,3.674884267498735,39.471760324215396,0.5813953488372093,0.04866228445790677,258,23,0
40,145.77033430769012,2.4693637482687194,3.4971041019553812,29.57004616402253,0.5946969696969697,0.04727414062733955,264,20,0
41,174.31097940450607,2.7361228565389744,4.42287326320512,25.970537640401076,0.5815899581589958,0.04583489944576777,239,21,0
42,101.61617172802407,1.8450277102089097,2.069516830510235,24.12152375903605,0.6162790697674418,0.04476670329832327,258,13,0
43,158.61993424747382,2.8026763094977096,4.014043468622767,46.46857544621035,0.6163265306122448,0.04384174262554648,245,24,0
44,176.3788186633302,2.9909730967643835,5.226754590886785,19.749269199198814,0.5660377358490566,0.04329772652342979,265,14,0
45,83.02243424021405,1.4545863766853155,2.1203550505062476,60.82571117072364,0.5659574468085107,0.04439889523200691,235,25,0
46,139.3280534300307,2.908825215230651,4.976274288164895,27.246803783988597,0.5682819383259912,0.04249931151589638,227,22,0
47,151.3519248878216,2.4106015028434014,4.353628412706109,35.93225771533727,0.5673469387755102,0.0430186548730052,245,30,0
48,135.08377652709905,2.374652016161794,4.030947593262547,37.84190849059182,0.5813953488372093,0.04144430907840058,258,24,0
49,57.634921893006585,1.0841738552129643,1.7886179375649072,38.329287104629884,0.5526315789473685,0.04150927304349179,228,21,0
50,-13.157346662421462,-0.23593051447416175,-0.28438296170895544,106.40848824604811,0.5390625,0.044285910071427875,256,34,0
