episode,total_profit,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,avg_loss,num_trades
1,23.473400000000407,0.21969281292642923,0.24603652480732785,86.87528999999965,0.5255474452554745,0.24400016443629094,411
2,139.0808999999998,1.469087783828977,1.6770490182766054,53.47180000000021,0.5959595959595959,0.22880801922326421,297
3,53.89226000000019,0.5188236165188731,0.42341632486369246,83.21305000000001,0.5964285714285714,0.22546072524577263,280
4,172.9299199999997,1.9728603463098549,2.458182420657202,46.63498999999996,0.5777777777777777,0.23545547781316456,270
5,102.4024199999998,1.002874958438943,1.0448129023365473,62.02186999999999,0.5723684210526315,0.2298193581271844,304
6,167.74782999999985,2.023690935838521,2.097940550752423,68.85298000000004,0.5975609756097561,0.23367052018671416,328
7,214.07242999999946,2.6819766085208028,2.9999909276977883,47.50598000000002,0.6329479768786127,0.22225280214782356,346
8,232.1899100000003,2.3653011202764835,2.5656484254038667,86.16780999999993,0.6121794871794872,0.21167786675233555,312
9,280.1637800000001,2.9255807205741675,3.5676472322809727,44.26392,0.5958702064896755,0.21318902823247798,339
10,317.83751999999976,3.2782965877309542,4.369171966032606,40.91492999999997,0.6201117318435754,0.1963764384446905,358
11,352.15367000000026,3.2423093463960844,4.1867645166722225,48.06015999999997,0.6296296296296297,0.2081871300080523,378
12,306.63714000000095,3.2437262902426114,3.6016457673975544,41.69516999999993,0.62,0.19635542997445346,350
13,416.26051,4.923541710844825,6.954108118531296,17.782950000000028,0.6805970149253732,0.19035601611557174,335
14,391.34779,4.960369937229586,7.8942067055945015,17.265209999999996,0.65625,0.1866017281719219,320
15,322.8156900000001,3.1395226313711055,3.99559345999749,38.064020000000056,0.5982404692082112,0.18054510976263985,341
16,309.1676199999998,3.6690145275246233,4.626696603428379,25.82041000000001,0.6311475409836066,0.17940219881643582,366
17,444.34182999999985,5.442431882413298,8.636132310240987,19.054399999999987,0.6837606837606838,0.1737428311736899,351
18,409.75029000000023,4.3485961561668365,5.052601496697053,62.162249999999915,0.6296296296296297,0.1764941476357934,351
19,449.4876999999999,5.21741148257274,7.344787753103242,15.437509999999975,0.6798866855524079,0.1634120370409948,353
20,397.17165999999986,3.7670951176558574,5.037100093133525,45.374300000000034,0.6518987341772152,0.1634705269470057,316
21,410.6902799999999,4.102706570740354,4.021883740041214,54.00189999999998,0.6993670886075949,0.15705816942749087,316
22,431.2751999999997,4.935630892024205,7.012456945216577,23.293350000000032,0.647239263803681,0.15501756700850183,326
23,514.6952400000001,5.84770582952352,8.875111943294431,21.682799999999986,0.6757575757575758,0.15133459563820045,330
24,519.7783900000001,6.00686465018703,9.419769112653771,21.89843000000002,0.6863354037267081,0.14809021532376104,322
25,409.91982999999993,4.41900375538598,5.474808968299451,26.36811,0.6675977653631285,0.14662415846631452,358
26,487.24352,4.921006271177039,5.8768250615471676,34.52350000000001,0.661849710982659,0.14301561888176875,346
27,531.3908699999997,5.677506174864671,12.430831132157893,11.46822000000006,0.6581920903954802,0.13698744701388282,354
28,481.5140900000001,4.7345196687204645,6.2985932902855355,21.254340000000013,0.6621621621621622,0.1389941169956431,370
29,379.51713999999976,4.242622569046454,5.354496310910634,28.740400000000022,0.6512345679012346,0.13203628473201268,324
30,382.91600999999997,3.4927613549726986,3.540111810073752,80.20217,0.6182336182336182,0.1307709609676544,351
31,503.56610999999987,5.866240585481114,7.982753288501965,22.89060999999998,0.6863905325443787,0.13108821096195902,338
32,484.1440499999999,4.473531540794661,4.6289284701565165,50.27188000000007,0.6893491124260355,0.1223680157257889,338
33,568.9926299999996,6.09435346004013,12.039555480927298,15.459340000000054,0.71875,0.12121116551516237,352
34,481.0828900000004,5.741244683870803,8.96997036934922,19.18554000000006,0.6570605187319885,0.11885006660559298,347
35,615.8299799999999,7.069887383330303,11.008824618186694,13.831200000000038,0.7057142857142857,0.11360247334255202,350
36,540.60872,5.1237921024687365,5.683794074605125,42.35774999999995,0.6728232189973615,0.11129664580051421,379
37,570.5361399999992,6.467296629423629,13.22249498985646,17.837389999999914,0.6468926553672316,0.10923307158545761,354
38,571.0474799999995,6.207039676306769,11.95808229506763,19.924629999999993,0.6545454545454545,0.10860951443778981,385
39,589.8774099999999,5.588457980682458,8.516751972976097,26.74831000000006,0.6927536231884058,0.10390177653587862,345
40,535.3621799999992,5.5079408500433535,6.098106716138746,33.54024000000004,0.6807909604519774,0.10365417707849163,354
41,578.4061400000002,5.442578488831778,6.8981759461964876,32.748470000000054,0.6945244956772334,0.10393860166464798,347
42,541.8041700000001,5.254618915266644,7.194377833218804,27.94909000000007,0.6619318181818182,0.1027867533375259,352
43,560.7155799999995,5.807435449210795,11.263039607322652,21.852470000000068,0.6611111111111111,0.09700425696860028,360
44,608.7250099999999,6.95893897173433,16.111432248185547,15.685550000000035,0.6831395348837209,0.09332890813474468,344
45,564.4818199999995,5.847739320213565,10.896573883469216,15.86896999999999,0.6771428571428572,0.09388777995953185,350
46,554.2797799999997,6.059384655545178,9.797078386821331,16.19045,0.6934097421203438,0.0921749790934737,349
47,528.9067499999995,6.243567634864162,9.754749986484958,14.846049999999991,0.6904761904761905,0.08907723035989511,336
48,553.9974099999994,5.681879829110507,5.921491064393296,40.986260000000016,0.6927710843373494,0.08565379836839344,332
49,586.9589099999998,7.06510983085363,12.08858271552048,18.20181999999994,0.7210031347962382,0.08460902233865358,319
50,535.4961999999995,6.011998354940605,9.503071842910309,22.57794000000004,0.6880733944954128,0.08665936771446861,327
